# Live migration tail after 2026-09-14 checkpoint
# version|name
20260914024035|enable_video_production_realtime_core
20260914032533|video_studio_database_bridge_v1
20260914033549|video_studio_source_guard_v1
20260914043701|fix_video_render_caption_cues_worker_access
20260914045510|harden_public_security_definer_search_paths
20260914052235|harden_live_discovery_world_security_definer_paths
20260914054813|fix_authenticated_storage_search_path
20260914074355|harden_video_studio_security_definers_search_path
20260914074400|lock_down_rls_tables_without_policies
20260914074432|optimize_direct_auth_uid_rls_policies
20260914074452|rebuild_auth_uid_policies_as_initplans
20260914074511|remove_redundant_artists_select_policy
20260914220956|fix_creator_upload_bootstrap_grants
20260915025439|fix_recording_session_completed_status
20260915040547|add_server_only_livekit_vault_bridge
20260915040948|require_livekit_key_secret_pair_in_provider_vault
20260915041505|revelator_credential_pair_and_service_bridge
20260915041553|correct_provider_activation_guidance_for_livekit_and_revelator
20260915041731|add_distribution_provider_verification_runtime
20260915041820|grant_distribution_worker_runtime_to_service_role
20260915042514|remove_dormant_video_ai_edit_sessions_from_realtime
20260915042640|make_blogger_oauth_manifest_status_live
20260915051633|harden_public_analytics_and_discovery_rpc
20260915051740|fix_public_analytics_invoker_returning
20260915051821|index_active_v58_workflow_foreign_keys
20260915051954|index_active_creator_media_merch_foreign_keys
20260915052044|index_active_public_queue_growth_foreign_keys
20260915053429|harden_livekit_credentials_owner_gate
20260915054457|tgg_targeted_fk_indexes_hot_paths_v2
20260915061031|world_multiplayer_witness_v11_7_2
